,0
1289,1437404
1290,1559264
1291,254356
1292,188398
1293,140143
1294,202173
1295,1547684
1296,750065
1297,180530
1298,220586
1299,1521604
1300,1110424
1301,1449666
1302,179949
1303,203622
1304,191384
1305,124066
1306,139933
1307,64115
1308,1455904
1309,204728
1310,215698
1311,131958
1312,1616785
1313,670186
1314,202754
1315,121101
1316,1437326
1317,189581
1318,219862
1319,51300
1320,1611687
1321,57928
1322,848964
1323,1045304
1324,75716
1325,1322944
1326,156326
1327,195604
1328,74010
1329,154162
1330,782564
1331,545624
1332,1483404
1333,1419764
1334,1434264
1335,106780
1336,90136
1337,130836
1338,210506
1339,237288
1340,1203744
1341,176685
1342,1649424
1343,189410
1344,243372
1345,200149
1346,1771304
1347,814411
1348,489164
1349,129981
1350,1379524
1351,1531924
1352,864684
1353,21245
1354,952144
1355,151312
1356,588564
1357,167222
1358,137460
1359,147328
1360,707264
1361,469384
1362,208185
1363,124399
1364,1186744
1365,162630
1366,1457765
1367,784384
1368,197636
1369,528244
1370,165090
1371,1314884
1372,1953124
1373,186213
1374,833125
1375,189007
1376,192260
1377,1505884
1378,806004
1379,132761
1380,214151
1381,699
1382,1477004
1383,1696864
1384,189629
1385,141327
1386,723525
1387,199959
1388,1050024
1389,157309
1390,1003624
1391,96355
1392,156439
1393,214882
1394,766725
1395,555408
1396,131598
1397,155130
1398,144641
1399,146064
1400,22885
1401,131823
1402,156674
1403,766205
1404,1378964
1405,1699784
1406,777344
1407,149816
1408,193618
1409,223817
1410,237499
1411,107046
1412,100348
1413,765944
1414,1027245
1415,136419
1416,834804
1417,139647
1418,71362
1419,376927
1420,1488844
1421,130022
1422,130309
1423,1321884
1424,800685
1425,75678
1426,581905
1427,269252
1428,146948
1429,424968
1430,1360924
1431,136792
1432,1601085
1433,228732
1434,199064
1435,1479044
1436,534824
1437,834624
1438,140016
1439,440984
1440,127510
1441,200877
1442,393704
1443,1487589
1444,1328544
1445,1631485
1446,1475124
1447,1880644
1448,626044
1449,1494664
1450,649085
1451,1267724
1452,1234384
1453,1915685
1454,510564
1455,186306
1456,166230
1457,113297
1458,140591
1459,103974
1460,230282
1461,475624
1462,15537
1463,220442
1464,704092
1465,279784
1466,15751
1467,183922
1468,565244
1469,432284
1470,155417
1471,60554
1472,226358
1473,234237
1474,154717
1475,1391886
1476,145217
1477,93205
1478,111757
1479,1537684
1480,1421126
1481,1367965
1482,208870
1483,402404
1484,179874
1485,569825
1486,132994
1487,773107
1488,147071
1489,220005
1490,170281
1491,155323
1492,272352
1493,89682
1494,133192
1495,597884
1496,1573164
1497,125223
1498,166384
1499,814410
1500,19591
1501,194411
1502,710937
1503,260880
1504,68696
1505,166708
1506,199965
1507,19344
1508,238551
1509,1459504
1510,89564
1511,212298
1512,142546
1513,225798
1514,167942
1515,1299284
1516,585224
1517,49163
1518,301067
1519,1651304
1520,656604
1521,164337
1522,73723
1523,1504629
1524,131466
1525,183217
1526,81837
1527,105812
1528,218361
1529,182240
1530,3793
1531,820045
1532,149261
1533,1684444
1534,222496
1535,337364
1536,984964
1537,544464
1538,128560
1539,107464
1540,176246
1541,68683
1542,184911
1543,497084
1544,8061
1545,1421364
1546,658029
1547,1544765
1548,183559
1549,1579347
1550,174352
1551,74233
1552,147289
1553,1451548
1554,162226
1555,423804
1556,708024
1557,63891
1558,774504
1559,1022344
1560,669144
1561,141180
1562,1359805
1563,195154
1564,1160544
1565,1530205
1566,238713
1567,3719
1568,225589
1569,666026
1570,3358
1571,133797
1572,158413
1573,1312644
1574,16346
1575,32364
1576,1289685
1577,129856
1578,143431
1579,1670204
1580,128238
1581,1608285
1582,207064
1583,162953
1584,1475685
1585,199128
1586,228016
1587,131919
1588,25143
1589,192737
1590,167304
1591,172515
1592,555673
1593,407084
1594,1677804
1595,1259584
1596,1434284
1597,701104
1598,130052
1599,826524
1600,18473
1601,189081
1602,129385
1603,255030
1604,84255
1605,252364
1606,179751
1607,254700
1608,128606
1609,13175
1610,121743
1611,181563
1612,147475
1613,42994
1614,147293
1615,510664
1616,399846
1617,770390
1618,19595
1619,1071464
1620,27325
1621,199423
1622,94205
1623,387464
1624,137573
1625,1567429
1626,1601984
1627,63015
1628,885344
1629,532484
1630,1109
1631,24716
1632,273681
1633,538944
1634,34865
1635,146977
1636,191773
1637,182511
1638,142924
1639,262335
1640,140679
1641,1251324
1642,1722844
1643,1406047
1644,1123104
1645,261395
1646,1837784
1647,257295
1648,45161
1649,120386
1650,1187664
1651,1349624
1652,163855
1653,135779
1654,89120
1655,13147
1656,196778
1657,27031
1658,78543
1659,93838
1660,501605
1661,255
1662,254172
1663,555730
1664,1464644
1665,209301
1666,194287
1667,543584
1668,571264
1669,141139
1670,407264
1671,226258
1672,1305064
1673,859804
1674,1616306
1675,1054186
1676,31455
1677,65518
1678,165849
1679,452644
1680,1787864
1681,457
1682,10053
1683,63790
1684,156999
1685,814486
1686,787665
1687,1266364
1688,131973
1689,189269
1690,5263
1691,885186
1692,1393464
1693,657944
1694,207521
1695,1432944
1696,1365205
1697,1561424
1698,128909
1699,1435944
1700,172477
1701,1214844
1702,453104
1703,133101
1704,1229704
1705,434264
1706,1477104
1707,147985
1708,125425
1709,159912
1710,218239
1711,409044
1712,176431
1713,10728
1714,91422
1715,203788
1716,143734
1717,195880
1718,732804
1719,70440
1720,155257
1721,541004
1722,1716824
1723,601704
1724,164942
1725,146126
1726,163551
1727,193612
1728,1390945
1729,138769
1730,736124
1731,1442586
1732,132497
1733,19312
1734,1095444
1735,70732
1736,176104
1737,166191
1738,1359304
1739,139141
1740,133148
1741,8775
1742,270090
1743,1398924
1744,137702
1745,211602
1746,741484
1747,225363
1748,160768
1749,1470685
1750,223379
1751,499284
1752,1648064
1753,184322
1754,203164
1755,1381465
1756,608144
1757,85377
1758,1508107
1759,618284
1760,187618
1761,162607
1762,720704
1763,105414
1764,615065
1765,437764
1766,138258
1767,1425864
1768,672784
1769,745804
1770,543165
1771,545344
1772,1517344
1773,1110864
1774,172111
1775,186195
1776,1727424
1777,151822
1778,194171
1779,237831
1780,160307
1781,467524
1782,201294
1783,194863
1784,65420
1785,67270
1786,304404
1787,1375285
1788,147358
1789,169019
1790,215022
1791,834146
1792,455124
1793,437324
1794,1218365
1795,222687
1796,131050
1797,260698
1798,128137
1799,425944
1800,504064
1801,153442
1802,865724
1803,194284
1804,195639
1805,166994
1806,766885
1807,1279764
1808,1539505
1809,1609306
1810,1434304
1811,210616
1812,151292
1813,1324965
1814,1132024
1815,714464
1816,146040
1817,220401
1818,77638
1819,143418
1820,1447244
1821,261010
1822,346185
1823,213984
1824,183274
1825,171338
1826,24771
1827,128264
1828,1318204
1829,234736
1830,1466564
1831,1374344
1832,92181
1833,210114
1834,1327444
1835,217586
1836,183327
1837,1428785
1838,153236
1839,170916
1840,155028
1841,318944
1842,68853
1843,1043704
1844,1334124
1845,90579
1846,782084
1847,188605
1848,269329
1849,74164
1850,183727
1851,1924304
1852,176214
1853,1190364
1854,1136864
1855,505266
1856,537484
1857,243530
1858,1734184
1859,666584
1860,47098
1861,1610404
1862,160067
1863,174816
1864,1462224
1865,164621
1866,174896
1867,1615125
1868,1255544
1869,609944
1870,94222
1871,1487504
1872,193867
1873,213090
1874,435070
1875,220859
1876,160263
1877,1238684
1878,168068
1879,230281
1880,146286
1881,411104
1882,272831
1883,1387966
1884,1058826
1885,147398
1886,828705
1887,74465
1888,814413
1889,129078
1890,131443
1891,1338124
1892,1591064
1893,1431424
1894,197575
1895,228613
1896,149336
1897,778726
1898,228300
1899,505024
1900,140832
1901,1873584
1902,525344
1903,197298
1904,1592944
1905,204138
1906,366644
1907,1580566
1908,143920
1909,1373845
1910,1362344
1911,678004
1912,200709
1913,130963
1914,174819
1915,243944
1916,746064
1917,137274
1918,1207024
1919,193287
1920,1392924
1921,199693
1922,751764
1923,9952
1924,227522
1925,929784
1926,1371611
1927,1070804
1928,154053
1929,1555084
1930,853404
1931,1627084
1932,243044
1933,190831
1934,137955
1935,1216164
1936,160971
1937,616254
1938,56587
1939,221200
1940,556464
1941,94834
1942,209991
1943,136025
1944,570187
1945,645984
1946,212380
1947,1338964
1948,186645
1949,235446
1950,133389
1951,1349244
1952,1630884
1953,741704
1954,207612
1955,1661984
1956,158391
1957,474347
1958,64372
1959,138883
1960,229138
1961,145477
1962,185462
1963,239240
1964,1868104
1965,197801
1966,196397
1967,422404
1968,143849
1969,226348
1970,302144
1971,148128
1972,670364
1973,1429225
1974,238671
1975,1333024
1976,132290
1977,198263
1978,1618804
1979,167475
1980,1449365
1981,739604
1982,841765
1983,634244
1984,146955
1985,183698
1986,236611
1987,1531145
1988,171306
1989,224279
1990,850884
1991,268306
1992,83650
1993,3176
1994,256477
1995,187312
1996,195930
1997,153911
1998,172040
1999,442765
2000,872184
2001,669124
2002,873744
2003,190063
2004,52840
2005,51370
2006,208942
2007,507564
2008,251529
2009,452444
2010,602748
2011,1346484
2012,723944
2013,1502244
2014,1427624
2015,229819
2016,1642648
2017,1420164
2018,1436471
2019,512204
2020,183619
2021,1872404
2022,1372984
2023,167898
2024,152012
2025,158229
2026,70016
2027,239162
2028,517884
2029,167777
2030,1605745
2031,520824
2032,129749
2033,775064
2034,1527670
2035,152518
2036,193386
2037,1296244
2038,228862
2039,136835
2040,381285
2041,213849
2042,116467
2043,708564
2044,952569
2045,48155
2046,251670
2047,142058
2048,191761
2049,1201
2050,505945
2051,211538
2052,1221126
